name,loc,tweet,time,rt,rt_name
 east coast gamer, , @DawnMacNeill @hfxtransit @hfxgov ,2019-02-25 22:23:34,,
,,,,,
 Festus Aquila, Gods own Yorkshire UK U0001f1ecU0001f1e7U0001f1ebU0001f1f4, RT @BBC_ARoadshow: It's Halifax not Venice! #AntiquesRoadshow comes from the stunningly beautiful @ThePieceHall in #Yorkshire next Sunday #,2019-02-25 22:23:29,,
,,,,,
 MissDubs, , RT @RSPCA_official: APPEAL FOR INFO: Three bald puppies were dumped at West Mount Vets in #Halifax at 5.30pm on 07/02/19 by a man in a hood,2019-02-25 22:23:08,,
,,,,,
 James Covey FC," Halifax, Canada"," RT @Privateers1882: Let us introduce you to our new friend, @jdiegogutiHis name might be Juan Diego Gutixe9rrez but in his native Peru, and",2019-02-25 22:22:56,,
,,,,,
 Nr Blank, Brockway or Ogdenville," @allend0rk Halifax, nova scotia",2019-02-25 22:22:41,,
,,,,,
 JohnBM, Yorkshire," @WYP_CldrValleys @WestYorksPolice @WYP_BenDoughty @WYP_Halifax Olivia Coleman yesterday, Ben today - the judges are ",2019-02-25 22:22:07,,
,,,,,
 Alex Weldon," Dartmouth, Nova Scotia, Canada", @girrl_friday Halifax Transit: Hear me out. Bigger... tickets.,2019-02-25 22:21:33,,
,,,,,
 Stevienix a slightly naughty Great Pyrenees, Anywhere w/ a GREAT PYRENEES ," RT @NEWS957: Man gets 7 years for beating, raping and taunting Halifax-area sex worker. ",2019-02-25 22:21:20,,
,,,,,
 As It Happens, All over the world, Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire ,2019-02-25 22:20:46,,
,,,,,
 Hike Nova Scotia, Nova Scotia," Sat., Mar. 2 join the #HalifaxOutdoorAdventurers for the #Rogart Mountain Trail Snowshoe/Hike &amp; Sugar Moon Farm hik ",2019-02-25 22:20:06,,
,,,,,
 The Harbour Cup, Halifax vs. Dartmouth, Remember that time #Halifax came back from a 7 point deficit to beat #Dartmouth by half a point? #IDo #FoxHarbr #HarbourCup,2019-02-25 22:20:04,,
,,,,,
 Alexander Quon, Regina/Saskatoon  Halifax, RT @globalhalifax: Taking the bus in Halifax could soon come with the benefit of free internet access.,2019-02-25 22:19:24,,
,,,,,
 John Eccleston," Elland, West Yorkshire", RT @CKCareers1: The Prince's Trust will be at our #Halifax Careers Centre this THURS from 10am-2pm for a Team Programme drop in. The progra,2019-02-25 22:19:22,,
,,,,,
 Privateers 1882," Halifax, Nova Scotia, Canada"," Let us introduce you to our new friend, @jdiegogutiHis name might be Juan Diego Gutixe9rrez but in his native Peru, ",2019-02-25 22:19:17,,
,,,,,
 Chrissie  ParkerU0001f33b, UK," Date for your diary,  #Huddersfield #Halifax #Wakefield #Leeds #Barnsley #York bring banners and placards, and brin ",2019-02-25 22:18:59, Yorkshire Health Campaigns Together march for the NHS 2019  ,2019-02-17 21:16:29
,,,,,
 Raging Sweet Potato, Canada," @Jordan_Patu Hell, we got better fight night cards both times they came to Halifax, Nova Scotia. And we got ",2019-02-25 22:18:55,,
,,,,,
 Northofseven," Bancroft, Ontario", New fire safety measures could be introduced after fatal Halifax house fire; Call for seatbelts on highway buses af ,2019-02-25 22:18:13,,
,,,,,
 Haldimand Norfolk Pro-Choice," Haldimand-Norfolk, Ontario"," RT @NEWS957: Man gets 7 years for beating, raping and taunting Halifax-area sex worker. ",2019-02-25 22:17:25,,
,,,,,
 KevinSmith, Canada, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 22:17:03,,
,,,,,
 Susana Machado," Montrxe9al, Quxe9bec", RT @CBCNews: Archaeologist says the large chamber underneath Province House in Halifax isn't mentioned in any records or maps. ,2019-02-25 22:16:59,,
,,,,,
 Global Halifax, Atlantic Canada, Taking the bus in Halifax could soon come with the benefit of free internet access.,2019-02-25 22:16:31,,
,,,,,
 Hey Kelly," Vancouver, British Columbia", RT @CBCNews: 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all agree with th,2019-02-25 22:15:19,,
,,,,,
 Ann J MacKenzie," Yarmouth, Nova Scotia", RT @harmony_adesola: So the past 3 months I've been working on a documentary with the Halifax film festival about the underage Hip-Hop scen,2019-02-25 22:15:06,,
,,,,,
 a miya, ," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 22:14:28,,
,,,,,
 Alishia, Dartmouth, @HunterBros @HIGHVALLEY Oh man! I wish I was able to see you all when your in Halifax!! Drive safe!,2019-02-25 22:14:17,,
,,,,,
 Pacediver, , RT @NatashaPace: Display set up at the Halifax airport in memory of the 7 Barho children. Relatives of Kawthar &amp; Ebraheim Barho are schedul,2019-02-25 22:13:56,,
,,,,,
 Walk n Roll Hfx," Halifax, Nova Scotia"," RT @DalGlobalHealth: Walk and Talk: A Conversation on Race, Place &amp; Space with @iwaldron2165.  Sat March 2 @ 12-2 PM - Halifax North Memori",2019-02-25 22:13:47,,
,,,,,
" ""Heavy""  FDMC", Canada, @MikeSavageHFX @hfxfire @ummahmasjid When will Halifax Fire Investigators release a Cause Of this Fire?,2019-02-25 22:13:33,,
,,,,,
 Heidi Petracek," Halifax, NS", RT @NatashaPace: Display set up at the Halifax airport in memory of the 7 Barho children. Relatives of Kawthar &amp; Ebraheim Barho are schedul,2019-02-25 22:13:27,,
,,,,,
 Penny Fleming," Hebden Bridge , England", RT @elaines15: So when your having a chat with a student and they mention they were a prem.Me: where was thatHer: HalifaxMe: I worked at,2019-02-25 22:13:23,,
,,,,,
 Event Planning!, , JOB: Halifax NS Canada - Hiring Event - Sales Advisors - By joining Service Corporation International you: By joini ,2019-02-25 22:13:01,,
,,,,,
 Rachel Melrose," Stanstead Abbotts, Herts. UK.", @OurCofELike @canonburrows @EllandChurches Welcome to OurCofE. I grew up in Halifax.,2019-02-25 22:12:30,,
,,,,,
 Todd Battis," Halifax, Nova Scotia"," Relatives of Barho family arriving in Halifax from overseas tonight, one week after fire took lives of 7 children. ",2019-02-25 22:12:15,,
,,,,,
 Anjali Jensen," Halifax, Nova Scotia", RT @halifaxchamber: Did you know the Chamber has a fabulous Group Health Plan? One third of our members are taking advantage! It's a perfec,2019-02-25 22:11:56,,
,,,,,
 Dan Stratton," Halifax, NS", RT @lmschnare: Hey #Halifax!! Come out for trivia @bubbaraysbar on Bayer Road this Thursday at 6:30! The host - @tomengland is awesome!!,2019-02-25 22:11:54,,
,,,,,
 sheila denetto, , RT @CTVNews: Canada grants visas to relatives of Barho family devastated by Halifax fire ,2019-02-25 22:11:40,,
,,,,,
 Kimberly Dickson," Nova Scotia, Canada"," RT @400years1: 21 February 1849 - The first Nova Scotia Pony Express Run began operations on this date. Carrying news, the express departed",2019-02-25 22:10:46,,
,,,,,
 Creme Egg Greg, Canada, RT @NatashaPace: Display set up at the Halifax airport in memory of the 7 Barho children. Relatives of Kawthar &amp; Ebraheim Barho are schedul,2019-02-25 22:10:30,,
,,,,,
 Citizen Kate," Ontario, Canada", RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 22:10:30,,
,,,,,
 Anjali Jensen," Halifax, Nova Scotia", @PettisPlumbing That so cool!,2019-02-25 22:10:12,,
,,,,,
 Halifax Libraries," Halifax, Nova Scotia, Canada"," Become a student, share knowledge, and pursue lifelong learning with University Classes for Everyone at ",2019-02-25 22:10:07,,
,,,,,
 Finnegan, , RT @CBCNews: 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all agree with th,2019-02-25 22:09:37,,
,,,,,
 lance michelson, ," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 22:09:35,,
,,,,,
 Anjali Jensen," Halifax, Nova Scotia"," RT @TAXMANInc1: What's the situation with the Carbon Tax, and how will it affect Maritime families? This article explains: ",2019-02-25 22:09:29,,
,,,,,
 National Refugee Institute, Guanduanis, RT @indigomoonyarns: 'They had the best months of their life': Kids thrived in Canada after escaping Syrian war | CBC News ,2019-02-25 22:08:57,,
,,,,,
 SRW," Vancouver, British Columbia", RT @CBCNews: 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all agree with th,2019-02-25 22:08:09,,
,,,,,
 kapergurl, , RT @globalhalifax: Experts say the deaths of the seven Barho children in a ferocious #Halifax house fire last week could lead to new fire s,2019-02-25 22:07:26,,
,,,,,
 Brad Hindle, , RT @cvr24: @AM730Traffic Halifax closed in Burnaby btw Fell and Kensington for water main work.,2019-02-25 22:07:12,,
,,,,,
 kapergurl, , RT @globalhalifax: Several family members of Syrian refugees who lost seven of their children in a tragic fire in #Halifax last week are ex,2019-02-25 22:06:34,,
,,,,,
 JR&F, ," CALL FOR PAPERS for 2019 International Conference on Religion &amp; Film. June 12-14, 2019 at Saint Mary University i ",2019-02-25 22:06:32,,
,,,,,
 Ruby Ramji, ," CALL FOR PAPERS for 2019 International Conference on Religion &amp; Film. June 12-14, 2019 at Saint Mary University i ",2019-02-25 22:06:17,,
,,,,,
 WX Halifax," Halifax, NS, Canada", Mon 18:00: Temp -1.3 C; Windchill -7; Wind WSW 18 km/h gust 30 km/h; Humidity 93%; Press 98.7 kPa  rising.,2019-02-25 22:06:09,,
,,,,,
 Robertsville Fire," Morganville, NJ", Engine 2-74 and FP 2-99 investigated a burning odor from a Halifax Road residence this evening.,2019-02-25 22:06:02,,
,,,,,
 BernieFarber, Toronto, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 22:06:00,,
,,,,,
 trish," British Columbia, Canada", 'They had the best months of their life': Kids thrived in Canada after escaping Syrian war | CBC News ,2019-02-25 22:05:38,,
,,,,,
 number1essexgirl," Chard, England", RT @RSPCA_official: APPEAL FOR INFO: Three bald puppies were dumped at West Mount Vets in #Halifax at 5.30pm on 07/02/19 by a man in a hood,2019-02-25 22:05:08,,
,,,,,
 Kat Dinsmore," Harrisburg, Pa", Here's a fun fact for you: The folks at Lake Tobias Wildlife Park up in Halifax collect any emu eggs from the safar ,2019-02-25 22:04:25,,
,,,,,
 MA Maritimes," Provinces Maritimes, Canada"," Halifax Intl Arpt (NS), Can 25/02/2019 16:46 -  vent fort rafales 69 km/h de l'ouest ",2019-02-25 22:04:06,,
,,,,,
 Norma Hunter," Shaunavon, Saskatchewan"," RT @HIGHVALLEY: Can't wait to play Moncton, Halifax, Fredericton &amp; St. John with these crazy dudes this week!!! ",2019-02-25 22:03:58,,
,,,,,
 kapergurl, , RT @CBCAlerts: BREAKING: Halifax MP Andy Fillmore says 'several family members' of Syrian refugee parents who lost their 7 children in a ho,2019-02-25 22:03:57,,
,,,,,
 kapergurl, ," RT @globalhalifax: A man who sexually assaulted, beat and taunted a Halifax-area sex worker with death before she was rescued by police has",2019-02-25 22:03:45,,
,,,,,
 Pete, Turtle Island U0001f1e8U0001f1e6, RT @CBCNews: 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all agree with th,2019-02-25 22:03:32,,
,,,,,
 bratsnword, Halifax," @JustinBolois @CaseyNeistat @firstwefeast Halifax burger week is coming up, if you all want to try some gourmet lim ",2019-02-25 22:03:13,,
,,,,,
 David Burrows ," St Mary's & All Saints, Elland"," RT @OurCofELike: Elland keeps Halifax and Huddersfield apart, a post- industrial Town of some 14000 souls, its traditional and now departed",2019-02-25 22:03:07,,
,,,,,
 LILLIAN M BROWN, ARDOISE NOVA SCOTIA, @BenMkWrites @FiveFeetApart @eOnefilms @CBSFilms @justinbaldoni @colesprouse @ClaireAForlani @parmindernagra ,2019-02-25 22:02:41,,
,,,,,
 LILLIAN M BROWN, ARDOISE NOVA SCOTIA," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 22:02:09,,
,,,,,
 100+WomenHalifax," Halifax, Nova Scotia"," Only 1 week and a day until our next meeting on Tues, March 5! See here for details:  ",2019-02-25 22:00:27,,
,,,,,
 Kirsty Mellor, England, RT @RSPCA_official: APPEAL FOR INFO: Three bald puppies were dumped at West Mount Vets in #Halifax at 5.30pm on 07/02/19 by a man in a hood,2019-02-25 22:00:00,,
,,,,,
 CBC News, Canada, 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all ag ,2019-02-25 22:00:00,,
,,,,,
 Kathleen Christie," Crook, County Durham", RT @RSPCA_official: APPEAL FOR INFO: Three bald puppies were dumped at West Mount Vets in #Halifax at 5.30pm on 07/02/19 by a man in a hood,2019-02-25 21:59:37,,
,,,,,
 Terry Hart, ," RT @MUNathletics: WBALL | It's playoff week for the women's basketball team! The (#5) Sea-Hawks head to Halifax, where they will matchup wi",2019-02-25 21:59:01,,
,,,,,
 arjan, ," RT @CcibChris: Halifax B Mark II Series I, W1176 'Z', of 462 Sqn RAAF, awaits load of 500-lb MC bombs, being prepared at Fayid, Egypt. The",2019-02-25 21:57:56,,
,,,,,
 WX Halifax," Halifax, NS, Canada", Mon 17:52: Light Snowshower; Temp -1.1 C; Windchill -8; Wind WSW 33 km/h gust 54 km/h; Humidity 94%; Press 98.7 kPa ,2019-02-25 21:57:56,,
,,,,,
 Tyrone Cotie," Halifax, Nova Scotia, Canada"," Best coffee with a view - Pavia at the Halifax central library , top floorBest seafood - Five FishermanBest pub ",2019-02-25 21:57:45, @scotchman1976 @TCotie @hfx_houseofyork ,2019-02-25 21:39:12
,,,,,
 Liz Braun, Toronto, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 21:57:39,,
,,,,,
 OnTheGroundNews.ca, canada, Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire: Several relati ,2019-02-25 21:57:02,,
,,,,,
 Santiago Agudelo," Kitchener, Ontario", @surveilz @felipecuemen @MaximeBernier @peoplespca ,2019-02-25 21:56:35,,
,,,,,
 Frank Magazine," Halifax, Nova Scotia", Breaking: Former Halifax poet laureate wasn't on her period two weeks ago when she wrote that thing about how hard ,2019-02-25 21:56:30,,
,,,,,
 Janis Cottee, ," RT @Innov_Dementia: Just 2 more sleeps 'til the #GreatYorkshireDEEP @dementiavoices meet-up! We're expecting folk from Scarborough, York,",2019-02-25 21:56:17,,
,,,,,
 Matt Dagley," Halifax, Nova Scotia, Canada", Got a super 8 movie projector through the auction at Mission Thrift. It has the original box with a CN rail shippin ,2019-02-25 21:56:14,,
,,,,,
 georgina , canada," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 21:55:10,,
,,,,,
 Moe K, ," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 21:55:02,,
,,,,,
 Tom Rohde," Minneapolis, Minnesota", #Limerick #entertainment #humor #store #Kilkenny #creamale #Christchurch #Halifax #Dublin  ,2019-02-25 21:54:06,,
,,,,,
 Guardian Pharmacy, Nova Scotia, Hatchet Lake Guardian Ideal Protein &amp; Keto Diet Information Session at the Prospect Road Community Centre! Join us ,2019-02-25 21:52:36,,
,,,,,
 Susan spontaneously, Vancouver, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 21:51:51,,
,,,,,
 Elizabeth Perry," Halifax, Nova Scotia", Mi'kmaq of Sipekne First Nation just outside K (Halifax) are standing up against t polluting of thei ,2019-02-25 21:50:31, PSA: Treaty Truck House to Stop Alton Gas needs your help now ,2019-02-25 21:37:36
,,,,,
 WX Halifax," Halifax, NS, Canada", Mon 17:47: Heavy Snowshower; Temp 0 C; Windchill -7; Wind WSW 33 km/h; Visibility 0.2 km; Humidity 81%; Press 98.7 ,2019-02-25 21:50:13,,
,,,,,
 aeschy," Vancouver, British Columbia", RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 21:49:03,,
,,,,,
 MA Maritimes," Provinces Maritimes, Canada"," Halifax Intl Arpt (NS), Can 25/02/2019 16:35 -  averses de neige modxe9rxe9es/fortes ",2019-02-25 21:49:01,,
,,,,,
 Andrea Malick, Canada, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 21:48:30,,
,,,,,
 jennifer allford, Calgary, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 21:48:25,,
,,,,,
 Cory McGraw," Halifax, NS", RT @NatashaPace: Display set up at the Halifax airport in memory of the 7 Barho children. Relatives of Kawthar &amp; Ebraheim Barho are schedul,2019-02-25 21:46:43,,
,,,,,
 Amany, Canada, 7 white caskets as Halifax says goodbye to children lost in house fire | CBC News ,2019-02-25 21:45:58,,
,,,,,
 Gigi RESIST, Toronto/Montreal, RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 21:44:56,,
,,,,,
 Heather Mallick, , Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halif ,2019-02-25 21:44:07,,
,,,,,
 Name can be blank., LIVERPOOL.," @faipdeooiad @MartinSLewis thanks,already started the ball rolling with capital one..egg next,then the halifax,&amp; ke ",2019-02-25 21:40:57,,
,,,,,
 Chris Greene," Halifax, Nova Scotia"," RT @JamesSteenberg: In other news, this elm tree is literally catching on fire due to contact with power lines. Fire has blocked off Allan",2019-02-25 21:40:53,,
,,,,,
 Jess_gr-au, , RT @CBCTheNational: Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire ,2019-02-25 21:40:53,,
,,,,,
 Halifax Health Jobs," Daytona Beach, Florida"," Want to work at Halifax Health? We're hiring in #DaytonaBeach, FL! Click for details:  #Nursing",2019-02-25 21:40:33,,
,,,,,
 Claudia Seeber," Berlin, Germany", RT @CdnHeritage: Do you work in the creative industries sector and want to learn more about exporting internationally? Register for the @Cd,2019-02-25 21:40:07,,
,,,,,
 The Northern Rock, Northern England, EXCLUSIVE: We speak to Calina about their upcoming debut headline gig and what to expect in the future.U0001f517 ,2019-02-25 21:38:43,,
,,,,,
 Natasha Pace, , Display set up at the Halifax airport in memory of the 7 Barho children. Relatives of Kawthar &amp; Ebraheim Barho are ,2019-02-25 21:36:41,,
,,,,,
 Khawaja101, Edmonton ," RT @SafwanChoudhry: The Ahmadiyya Muslim Jamaat Canada extends ours deepest condolences &amp; sincere prayers for the Barho family, as they bea",2019-02-25 21:36:31,,
,,,,,
 mhorth, , RT @CdnHeritage: Do you work in the creative industries sector and want to learn more about exporting internationally? Register for the @Cd,2019-02-25 21:36:16,,
,,,,,
 CBC Arts, Canada," At @ICEHOTEL_Sweden, two Halifax artists have been working hard...to honour their cat:  ",2019-02-25 21:35:47,,
,,,,,
 Lorenzo Parker," Prince Edward Island, Canada"," RT @UNB_Basketball: The Game Winner felt around the @AUS_SUA by Chris Spurrell, securing 2nd place and the Playoff Bye for the Reds next we",2019-02-25 21:35:46,,
,,,,,
 Angela, Cool West Yorkshire," RT @JobsCalderdale: Cultural Services Managerxa346,609 to xa349,523 per annum37 hours per week, permanentHalifax, West Yorkshire#Jobs #Cald",2019-02-25 21:35:41,,
,,,,,
 Shane Wagenaar, , @David_Rowaan Looking forward to a few more decent international signing to match up with some recent quality signi ,2019-02-25 21:35:33,,
,,,,,
 june, Manchester, Petition: Abolish Leasehold. Please sign &amp; share. Keep your hard earned money instead of paying ground rent &amp; other ,2019-02-25 21:34:16, NLC petition to ABOLISH LEASEHOLD  has now reached 17kHave you signed???#peoplepower #leaseholdscandalU0001f447U0001f447U0001f447U0001f447 ,2019-02-24 17:27:58
,,,,,
 Steve MacLean, Halifax, Mooseheads are 4pts up on Baie-Comeau with 9 games remaining. HFX with an easier schedule down the stretch than the ,2019-02-25 21:34:12,,
,,,,,
 The CARDbuyers Honey Badger, , RT @Robbie_LandisCP: Good day. Bad day. One thing we cab always count on is @Halifax and his #PUBG skills to keep us entertained until show,2019-02-25 21:34:09,,
,,,,,
 TMJ-FLD Nursing Jobs," Daytona Beach, FL"," Can you recommend anyone for this #Nursing job in #PortOrange, FL? Click the link in our bio to see it and more. RN ",2019-02-25 21:34:02,,
,,,,,
 Richard Stewart, , Halifax House Fire Kills Family's 7 Children ,2019-02-25 21:33:20,,
,,,,,
 Charl , Worcester," @Tesco Hi Andy, thanks for your help. I had this happen before, of which both your CS and Halifax have advised i ",2019-02-25 21:33:18,,
,,,,,
 Margaret Chapman," Halifax, Nova Scotia"," Driving to the airport @CBCNS played Here Comes the Sun, and I remembered the beautiful winter light this weekend i ",2019-02-25 21:33:17,,
,,,,,
 Sally Balmforth," Wakefield, England", RT @RSPCA_official: APPEAL FOR INFO: Three bald puppies were dumped at West Mount Vets in #Halifax at 5.30pm on 07/02/19 by a man in a hood,2019-02-25 21:33:16,,
,,,,,
 Joanne Hussey," Halifax, NS", RT @NSNDP: Dartmouth MLAs @ChenderMLA and @susanleblancMLA are sounding the alarm about the crisis brewing in their community due to a fami,2019-02-25 21:33:03,,
,,,,,
 TMJ-NSC Nursing Jobs, Nova Scotia, This #Nursing job might be a great fit for you. Click the link in our bio to see it and more. Registered Nurse (RN) ,2019-02-25 21:32:29,,
,,,,,
 Indigenous Sport & Wellness Ontario, Toronto,  staff and Team Ontario volunteers and coaches will be on-hand to scout talent and identify athletes to play f ,2019-02-25 21:32:20,,
,,,,,
 Bob MacMinn," Halifax, Nova Scotia", Halifax Shark Attack! ,2019-02-25 21:31:32,,
,,,,,
 Steve_Filipovic, Victoria BC, @AsiliAnga #Inequity conflated w Co2 alarm #fakenews! #GreenNewDeal #Cdnpoli #BCpoli #Vanpoli #ABleg #yyc #SKpoli ,2019-02-25 21:31:14, HAPPENING TOMORROW: Join @CreeClayton + other movement leaders for a conversation on what a #GreenNewDeal to tackle ,2019-02-25 19:57:29
,,,,,
 mikeyds," Toronto, ON"," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 21:30:35,,
,,,,,
 Melissa Martin, Treaty One Territory, @swaff81 Toronto flights canceled all over the place tonight. Luckily for me my next leg is Halifax - Montreal - Winnipeg,2019-02-25 21:30:31,,
,,,,,
 Carroll Computing, Halifax," Almost hometime, and we had a great start to the week. If you guys need any spares, repairs or upgrades, get in ",2019-02-25 21:30:10,,
,,,,,
 Onset Dance, ," SEE YOU THERE! U0001f64c #CHHDC #CHHDCMaritimes @ Halifax, Nova Scotia ",2019-02-25 21:28:14,,
,,,,,
 Halifax Fire News, ," 5:28pm 3 Engine, 3 Aerial, 2 Engine (Halifax) paged for a fire alarm activation.",2019-02-25 21:28:02,,
,,,,,
 startupcrunch," Palo Alto, CA", Black entrepreneurs launch inaugural  Story artisan market in Halifax ,2019-02-25 21:27:39,,
,,,,,
 HRM FireWire," Halifax, Nova Scotia", 5:26pm 3-Company 2-Eng (Halifax) Commercial Fire Alarm Activated.,2019-02-25 21:27:07,,
,,,,,
 Gary Rae, Live in HopeSleep in Yorkshire, RT @BBC_ARoadshow: It's Halifax not Venice! #AntiquesRoadshow comes from the stunningly beautiful @ThePieceHall in #Yorkshire next Sunday #,2019-02-25 21:26:58,,
,,,,,
 Darryl Pezzack, Toronto ontario," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 21:26:00,,
,,,,,
 Guy Montag, London , RT @BBC_ARoadshow: It's Halifax not Venice! #AntiquesRoadshow comes from the stunningly beautiful @ThePieceHall in #Yorkshire next Sunday #,2019-02-25 21:24:19,,
,,,,,
 Nicky Brighton, Ripponden, RT @davidfordisdead: Hello Halifax. ,2019-02-25 21:24:15,,
,,,,,
 Tim Sills," Poole, England", RT @shotsremembered: A Tim Sills brace secures a 2-1 @OfficialShots win at Halifax 15 years ago this week to keep Terry Brown's men firmly,2019-02-25 21:24:09,,
,,,,,
 apollyg, , RT @ioutheatre: Do you have a story to tell about Halifax? We want to hear it! Come along to our free storytelling workshops this week to h,2019-02-25 21:23:51,,
,,,,,
 Kimberly Newell, ," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 21:23:39,,
,,,,,
 Felixstowe Docker, Trimley," Halifax pilot boat - Ian "" Wally "" Wallace. Ex Felixstowe Tug Worker ",2019-02-25 21:23:26,,
,,,,,
 anga mchanga, Turtle Island, #GreenNewDeal #GND4Canada #Cdnpoli #BCpoli #Vanpoli #yyj #ABpoli #yyc #Edmonton #SKpoli #yqr #MBpoli #Wpgpoli ,2019-02-25 21:23:20, HAPPENING TOMORROW: Join @CreeClayton + other movement leaders for a conversation on what a #GreenNewDeal to tackle ,2019-02-25 19:57:29
,,,,,
 Susan Gentile, , Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire | CBCxa0News ,2019-02-25 21:21:35,,
,,,,,
 Jamesjava , #LongIsland NY," RT @HotCountry1035: A HUGE Happy Birthday going out to this beauty, @madelinemerlo!!!! U0001f389U0001f388 We can't wait to have you back in Halifax some da",2019-02-25 21:21:32,,
,,,,,
" Girl Friday, but more like a shitty Tuesday", K , RT @Q104Halifax: Caller reports a head-on collision at Kearney Lake and Donaldson. Another caller reports whiteout conditions on 103 betwee,2019-02-25 21:21:21,,
,,,,,
 Mark Flynn, Huddersfield 07745204331, RT @GeorgeSmith1994: Excited for the week ahead in Dublin training at @SBGswords with @chrisfieldsmma solid team! Thanks to @YorkshirePay,2019-02-25 21:21:13,,
,,,,,
 Pamela Johnson #I," Yorkshire, England", RT @BBC_ARoadshow: It's Halifax not Venice! #AntiquesRoadshow comes from the stunningly beautiful @ThePieceHall in #Yorkshire next Sunday #,2019-02-25 21:20:36,,
,,,,,
 Local Sound Focus, Yorkshire," SAT, 13 APR AT 20:00KISS TRIBUTE/ HOTTER THAN HELLArden Road Social Club xb7 Halifax",2019-02-25 21:20:15,,
,,,,,
 jennifer hull," South West, England"," RT @BenMkWrites: When life forces you apart, love only grows stronger. Follow us, RT + Reply w/ your city to enter to #win passes to an adv",2019-02-25 21:20:01,,
,,,,,
 Local Sound Focus, Yorkshire," SAT, 2 MAR AT 20:30REWIND LIVE AT THE NAVIGATION INNNavigation Inn Sow xb7 Halifax",2019-02-25 21:19:58,,
,,,,,
 Andy Leonard, Halifax, RT @BBC_ARoadshow: It's Halifax not Venice! #AntiquesRoadshow comes from the stunningly beautiful @ThePieceHall in #Yorkshire next Sunday #,2019-02-25 21:19:54,,
,,,,,
 Ontario Fire Buff Associates," Ontario, Canada", RT @ChiefBillHunter: The deadly stats are in...8 fire deaths in the province during the first 50 days...7 kids died in a #Halifax house,2019-02-25 21:19:44,,
,,,,,
 Sally Muses Downeast," Maritimes, Canada", @Furedibyte Halifax is a great little city when they're not ripping down the Cornwallis statue and poisoning people ,2019-02-25 21:19:30,,
,,,,,
 Sarah Emsley," Halifax, Canada", RT @katieyingram: Interested in some of #Halifax's best literary sites? I did a roundup for @twuc's #Write magazine. Featuring places like,2019-02-25 21:18:57,,
,,,,,
 NasKel," Nova Scotia, Canada", RT @Q104Halifax: Caller reports a head-on collision at Kearney Lake and Donaldson. Another caller reports whiteout conditions on 103 betwee,2019-02-25 21:18:55,,
,,,,,
 Checkpoint XP," Detroit, MI", RT @Robbie_LandisCP: Good day. Bad day. One thing we cab always count on is @Halifax and his #PUBG skills to keep us entertained until show,2019-02-25 21:18:49,,
,,,,,
